戉	
戋	
我	
戶	
戼	
手	
扌	
才	
承	
支	
攴	
攵	
文	
斗	
斤	
斥	
方	
无	
旡	
日	
春	
曰	
曲	
曳	
更	
月	
木	
朩	
未	
末	
本	
朿	
束	
東	
果	
棄	
欠	
止	
歹	
歺	
毋	
毌	
母	
毛	
氏	
民	
气	
水	
氵	
氶	
氷	
永	
氺	
求	
火	
灬	
為	
熏	
爪	
爫	
爰	
爲	
父	
爻	
爾	
爿	
片	
牙	
牛	
牜	
犬	
犭	
犮	
玄	
率	
玉	
王	
瓜	
瓦	
甘	
生	
用	
甫	
田	
由	
甲	
申	
甴	
电	
畢	
疋	
疌	
疒	
癶	
発	
白	
皮	
皿	
目	
眔	
眞	
睂	
矛	
矢	
石	
示	
礻	
禸	
禹	
禺	
禾	
秉	
穴	
立	
竹	
米	
粛	
糸	
糹	
纟	
缶	
网	
罒	
羊	
羲	
羽	
老	
耂	
而	
耒	
耳	
聿	
肀	
肃	
肅	
肉	
脊	
臣	
臦	
自	
至	
臼	
臾	
舌	
舛	
舟	
艮	
色	
艸	
艹	
虍	
虐	
虫	
衣	
衤	
襾	
西	
覀	
见	
角	
言	
譱	
讠	
谷	
豕	
豖	
豙	
象	
豸	
貝	
賷	
贝	
赤	
走	
足	
身	
車	
车	
辛	
辰	
辵	
辶	
邑	
酉	
釆	
里	
重	
金	
钅	
長	
镸	
长	
門	
门	
阝	
隶	
隹	
隺	
雋	
雍	
雨	
靑	
青	
非	
面	
革	
韋	
韦	
韭	
音	
頁	
页	
風	
风	
飛	
飞	
食	
飠	
饣	
首	
馬	
马	
骨	
高	
鬥	
鬲	
鬼	
魚	
鱼	
鳥	
鸟	
鹵	
鹿	
麥	
麦	
麻	
黃	
黄	
黍	
黑	
黹	
黽	
鼎	
鼓	
鼠	
鼻	
齊	
齐	
齒	
齿	
龍	
龙	
龜	
龟	
龠	
龴	
龶	
龷	
龸	
龹	
𠀁	
𠀇	
𠀉	
𠀌	
𠀎	
𠁁	
𠁡	
𠁣	
𠂂	
𠂆	
𠂇	
𠂈	
𠂉	
𠂊	
𠂋	
𠂎	
𠂒	
𠂔	
𠂠	
𠂢	
𠂭	
𠂹	
𠃊	
𠃌	
𠃍	
𠃏	
𠃓	
𠃔	
𠃚	
𠃛	
𠃜	
𠃨	
𠃬	
𠄌	
𠄎	
𠄏	
𠄘	
𠄟	
𠄠	
𠔀	
𠔾	
𠕁	
𠕋	
𠘧	
𠘨	
𠙖	
𠙵	
𠚏	
𠚒	
𠚣	
𠟴	
𠤎	
𠥓	
𠦂	
𠦃	
𠦑	
𠦬	
𠧪	
𠫓	
𠬜	
𠬞	
𠬶	
𠮠	
𡆪	
𡆵	
𡉵	
𡊮	
𡋑	
𡌥	
𡕒	
𡕰	
𡖈	
𡗚	
𡘩	
𡘲	
𡙁	
𡚇	
𡥀	
𡨄	
𡳾	
𡴀	
𡸁	
𡿱	
𢁺	
𢆍	
𢇍	
𢎘	
𢎟	
𢏚	
𢑚	
𢜤	
𢦍	
𢦑	
𢨋	
𣆪	
𣎳	
𣎵	
𣎼	
𣐺	
𣥂	
𣫞	
𣶒	
𤇾	
𤍾	
𤓯	
𤓰	
𤔔	
𤔿	
𤕤	
𤕦	
𤕨	
𤣥	
𤣩	
𤯓	
𤰇	
𤰔	
𤴡	
𥄉	
𥈠	
𥘅	
𥝌	
𥫗	
𥸨	
𦈢	
𦍌	
𦏲	
𦝠	
𦣝	
𦣞	
𦥑	
𦥒	
𦥛	
𦥯	
𦦉	
𧘇	
𧮫	
𧰨	
𧾷	
𨈐	
𨙨	
𨸏	
𩫖	
𩵋	
𪓑	
直	
